AREASTAT;COD_AREAST;COUNTSEZ01;MQ_AREAST;COD_QUART;NOME_QUART;COD_ZONA;NOME_ZONA;TIPOLOGIA
CNR;13;6;292615,8220000000;02;NAVILE;B;Bolognina;Poli funzionali, aree produttive e infrastrutture
CORELLI;89;53;1214137,0370000000;09;SAVENA;R;San Ruffillo;Tessuto consolidato e aree della trasformazione programmata
CROCE COPERTA;20;39;1867610,2549999900;02;NAVILE;E;Corticella;Tessuto consolidato e aree della trasformazione programmata
CROCE DEL BIACCO;69;19;1403445,1899999900;07;SAN VITALE;T;San Vitale;Tessuto consolidato e aree della trasformazione programmata
DAGNINI;58;42;624570,7520000000;06;SANTO STEFANO;O;Murri;Tessuto consolidato e aree della trasformazione programmata
DUCATI-VILLAGGIO INA;7;17;727355,5420000000;01;BORGO PANIGALE;C;Borgo Panigale;Tessuto consolidato e aree della trasformazione programmata
DUE MADONNE;80;14;509069,5360000000;09;SAVENA;N;Mazzini;Tessuto consolidato e aree della trasformazione programmata
EMILIA PONENTE;40;25;855992,9020000000;04;RENO;S;Santa Viola;Tessuto consolidato e aree della trasformazione programmata
EX MERCATO ORTOFRUTTICOLO;16;5;708191,4600000000;02;NAVILE;B;Bolognina;Tessuto consolidato e aree della trasformazione programmata
FIERA;42;12;1701547,8200000000;05;SAN DONATO;Q;San Donato;Poli funzionali, aree produttive e infrastrutture
FOSSOLO;79;23;1266312,7520000000;09;SAVENA;N;Mazzini;Tessuto consolidato e aree della trasformazione programmata
GALVANI-1;53;24;215430,2290000000;06;SANTO STEFANO;G;Galvani;Tessuto consolidato e aree della trasformazione programmata
GALVANI-2;54;68;899914,0620000000;06;SANTO STEFANO;G;Galvani;Tessuto consolidato e aree della trasformazione programmata
GIARDINI MARGHERITA;55;3;262459,6630000000;06;SANTO STEFANO;O;Murri;Collina e ambiti agricoli periurbani
GUELFA;68;28;728721,8690000000;07;SAN VITALE;T;San Vitale;Tessuto consolidato e aree della trasformazione programmata
