Ticketid,Category,Subcategory_1,Subcategory_2,Subcategory_3
93924,Segnalazioni,Attività produttive,Circoli privati,
93925,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
93926,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da piccioni
93927,Segnalazioni,Degrado ambientale,,
93929,Segnalazioni,Animali,Roditori,Presenze
93933,Segnalazioni,Arredo urbano,Impianti sportivi,Danneggiati/incuria
93934,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
93936,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
93938,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Carenti
93939,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
93940,Segnalazioni,Microcriminalità,Occupazioni abusive,Edifici privati
93941,Segnalazioni,Servizi comunali,,
93942,Segnalazioni,Degrado urbano,Parcheggi pubblici,Dissestati
93943,Segnalazioni,Arredo urbano,Contenitori rifiuti,Maleodoranti/stracolmi
93944,Segnalazioni,Verde pubblico,Aree verdi,Incuria/sporche
93945,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Danneggiata
93946,Segnalazioni,Degrado urbano,Muri pubblici di contenimento stradale,Danneggiati
93947,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
93949,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
93955,Segnalazioni,Degrado urbano,Cantieri stradali,Abbandonati
93957,Segnalazioni,Degrado urbano,Cantieri stradali,Abbandonati
93958,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
93959,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Richiesta installazione/variazione
93961,Segnalazioni,Verde pubblico,Vegetazione spontanea,
93962,Segnalazioni,Verde privato,Siepi,Invadenti
93963,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Dissestati
93964,Segnalazioni,Arredo urbano,Contenitori rifiuti,
93966,Segnalazioni,Animali,Roditori,Presenze
93967,Segnalazioni,Microcriminalità,Comportamenti sanzionabili,
93968,Segnalazioni,Attività produttive,Circoli privati,
93969,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,
93971,Segnalazioni,Degrado urbano,Cantieri stradali,
93973,Segnalazioni,Microcriminalità,Comportamenti sanzionabili,
93980,Segnalazioni,,,
93982,Segnalazioni,Animali,Roditori,Presenze
93983,Segnalazioni,Degrado sociale,Conflitti,Fra adulti/fra vicini
93986,Segnalazioni,Animali,Uccelli,Presenze
93988,Segnalazioni,Viabilità e traffico,Circolazione,
93989,Segnalazioni,Degrado ambientale,Inquinamento atmosferico,Inquinamento atmosferico da sorgenti non puntuali
93991,Segnalazioni,Microcriminalità,Furti/rapine,
93992,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
93993,Segnalazioni,Degrado sociale,Segnalazioni,Bivacco
93995,Segnalazioni,Degrado urbano,Edifici privati,Abusivi
93999,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Progettazione e modifica
94000,Segnalazioni,Attività produttive,AttivitÃ  commerciali,IrregolaritÃ  dell'occupazione di suolo pubblico
94001,Segnalazioni,Microcriminalità,Spaccio,
94002,Segnalazioni,Arredo urbano,Panchine,Danneggiate/imbrattate
94003,Segnalazioni,Viabilità e traffico,Sosta e parcheggi,Violazione codice della strada
94005,Segnalazioni,Animali,Roditori,
94007,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94008,Segnalazioni,,,
94009,Segnalazioni,,,
94010,Segnalazioni,Degrado ambientale,Inquinamento atmosferico,Emissioni odorigene
94011,Segnalazioni,,,
94012,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da piccioni
94014,Segnalazioni,Verde privato,Siepi,Invadenti
94015,Segnalazioni,,,
94017,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
94021,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,
94022,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94023,Segnalazioni,Animali,Insetti,Zanzara tigre
94025,Segnalazioni,Verde privato,Siepi,Invadenti
94027,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Danneggiati
94028,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94030,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
94033,Segnalazioni,Degrado urbano,,
94035,Segnalazioni,Animali,Cani,
94037,Segnalazioni,Viabilità e traffico,Segnaletica ai sensi del CdS,Danneggiata
94038,Segnalazioni,,,
94039,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
94040,Segnalazioni,Degrado urbano,Illuminazione pubblica/lampioni,Non/mal funzionante
94041,Segnalazioni,,,
94042,Segnalazioni,Animali,Insetti,Zanzara tigre
94043,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Rifiuti urbani
94044,Segnalazioni,Degrado urbano,Tombini/griglie/caditoie/chiusini/pozzetti/botole,Non/mal funzionanti
94045,Segnalazioni,Verde pubblico,Vegetazione spontanea,
94046,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Siringhe/Preservativi
94047,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
94048,Segnalazioni,Degrado ambientale,Rifiuti/rottami,Veicoli abbandonati/carcasse di veicoli
94049,Segnalazioni,Verde privato,Alberi/rami,Danneggiati/ammalati
94050,Segnalazioni,Degrado ambientale,Sporcizia/deiezioni/problemi igienici,Sporcizia da persone
94051,Segnalazioni,Degrado ambientale,Scarichi idrici,Perdite
94053,Segnalazioni,,,
94056,Segnalazioni,Degrado urbano,Cantieri edili,Abusivi
94058,Segnalazioni,Degrado urbano,Piazze/strade,Dissestate
94059,Segnalazioni,Degrado ambientale,Inquinamento atmosferico,Amianto
94063,Segnalazioni,Arredo urbano,Recinzioni in muratura,Danneggiate/incuria
94064,Segnalazioni,Verde pubblico,Alberi/rami,Invadenti
94065,Segnalazioni,Degrado urbano,Marciapiedi/attraversamenti pedonali/percorsi protetti,Imbrattati/sporchi
94066,Segnalazioni,Degrado ambientale,Scarichi idrici,Perdite
94068,Segnalazioni,Viabilità e traffico,"Dissuasori, specchi, fittoni, altri elementi stradali",Carenti
